year,white,black,other,total
2021,16956037,3744736,1304814,22005587
2020,16713931,3671185,1255650,21640766
2019,16439624,3603599,1225330,21268553
2018,16219736,3549464,1188505,20957705
2017,15944707,3470105,1140921,20555733
2016,15722428,3408734,1099930,20231092
2015,15492935,3344939,1059888,19897762
2014,15278924,3278527,1022420,19579871
2013,15106653,3219386,988357,19314396
2012,14997292,3165062,956584,19118938
2011,14910321,3106365,925056,18941742
2010,14815084,3083154,922042,18820280
2009,14762048,3049814,899982,18711844
2008,14747636,3019761,869440,18636837
2007,14695237,2970749,834972,18500958
2006,14539520,2904545,793531,18237596
2005,14314124,2818056,744483,17876663
2004,14047501,2732636,696352,17476489
2003,13771781,2650445,652142,17074368
2002,13530669,2577689,609675,16718033
2001,13308708,2506652,569500,16384860
2000,13200518,2487562,386816,16074896
1999,12903840,2412203,363563,15679606
1998,12633341,2334494,342133,15309968
1997,12422254,2265376,324067,15011697
1996,12205330,2191834,304129,14701293
1995,11995367,2124830,285317,14405514
1994,11791929,2062457,266169,14120555
1993,11566432,1988175,248494,13803101
1992,11394887,1925571,230893,13551351
1991,11241619,1865971,216077,13323667
1990,11040436,1790653,198025,13029114
1989,10727690,1726044,184913,12638647
1988,10457575,1677457,172008,12307040
1987,10206137,1631473,159990,11997600
1986,9933327,1585951,148362,11667640
1985,9667638,1546265,136933,11350836
1984,9405814,1507582,125832,11039228
1983,9160805,1472778,115443,10749026
1982,8926202,1438656,105520,10470378
1981,8692687,1403847,95033,10191567
1980,8389968,1366808,83541,9840317
1979,8100837,1293793,74093,9468723
1978,7803120,1258983,67513,9129616
1977,7585165,1240014,62139,8887318
1976,7412598,1224276,57164,8694038
1975,7273915,1214038,52487,8540440
1974,7074238,1194597,47110,8315945
1973,6731323,1153524,41402,7926249
1972,6374519,1109213,35801,7519533
1971,6059947,1071575,30473,7161995
1970,5719343,1041651,28444,6789438
